NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;VERKEERSKUNDIGWEGVAKVILD;TRAJECTVILD;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
3924962;2024-01-29;2024-01-29;15:41:29;15:49:00;22,920;3049,000;7,517;30,7;28,5;A;4;A4;oplopend;Hoogmade - Limesaquaduct;Amsterdam - Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 8];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3924963;2024-01-29;2024-01-29;15:41:29;17:26:01;420,067;4018,000;104,533;2,2;4,5;N;3;N3;aflopend;Dordrecht-Staart - Merwedebrug;Dordrecht - Papendrecht;Defect voertuig (met spitsfile);[Geen oorzaakcode opgegeven door VWM 50], [Defect(e) voertuig(en) 10], [Eerder pechgeval 41], [Geen oorzaakcode opgegeven door VWM 3];[000], [BKD], [M13], [000];BKD;Defect(e) voertuig(en);Defect voertuig;Incident (gestrand voertuig);Incident
3924964;2024-01-29;2024-01-29;15:43:29;15:49:00;23,980;4347,000;5,517;37,7;32,9;A;4;A4;oplopend;Zoeterwoude-Dorp - Leidschendam;Amsterdam - Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3924965;2024-01-29;2024-01-29;15:44:29;15:49:00;10,385;2299,000;4,517;43,8;41,7;A;20;A20;oplopend;Nieuwerkerk aan den IJssel - Moordrecht;Hoek van Holland - Gouda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925046;2024-01-29;2024-01-29;16:14:30;18:04:00;96,550;882,000;109,500;50,7;50,7;A;15;A15;aflopend;Benelux verbindingsweg A15 vanuit Ridderkerk - A4 richting Vlaardingen;Ridderkerk - Europoort;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 110];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925047;2024-01-29;2024-01-29;16:16:30;16:23:00;27,630;4251,000;6,500;49,6;54,0;A;27;A27;aflopend;Lexmond - Noordeloos;Utrecht - Gorinchem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925048;2024-01-29;2024-01-29;16:16:30;16:18:00;3,600;2400,000;1,500;35,2;32,9;A;4;A4;oplopend;Zoeterwoude-Rijndijk - Zoeterwoude-Dorp;Amsterdam - Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925049;2024-01-29;2024-01-29;16:16:30;16:19:00;7,460;2984,000;2,500;73,5;70,3;A;4;A4;oplopend;Vlaardingen-Oost - Beneluxtunnel;Den Haag - Rotterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925050;2024-01-29;2024-01-29;16:16:30;16:18:00;4,050;2700,000;1,500;21,3;24,0;N;35;N35;aflopend;Ommen - Deventer;Almelo - Zwolle;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
3925135;2024-01-29;2024-01-29;16:37:30;16:41:00;11,550;3300,000;3,500;72,6;75,9;A;4;A4;aflopend;Pernis - Beneluxtunnel;Rotterdam - Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
